class	parent	getter_fn	dump_line
CCameraComponent	CEntityComponent	FUN_10248cd0	405340
CCameraFreeComponent	CCameraNetworkComponent	FUN_104cac80	831337
CCameraGameComponent	CCameraNetworkComponent	FUN_104cad10	831369
CCameraGhostComponent	CCameraFreeComponent	FUN_104cace0	831353
CCameraMode	CNomadObject	FUN_1053bc90	899695
CCameraModeGameplay	CCameraMode	FUN_1053bcc0	899711
CCameraNetworkComponent	CCameraComponent	FUN_104cac50	831321
CCameraParamVehicleComponent	CEntityComponent	FUN_104cae60	831433
CCameraPawnComponent	CCameraGameComponent	FUN_104cad40	831385
CCameraPlanetComponent	CCameraComponent	FUN_104cae00	831417
CCameraShakeAndPadRumbleComponent	CEntityComponent	FUN_104cbd50	831946
CCameraThirdComponent	CCameraNetworkComponent	FUN_104cada0	831401
CCapturePoint	CGameObject	FUN_104caa30	831209
CCapturePointNetworkComponent	CNetworkComponent	FUN_104caa60	831225
CChallenge	CNomadObject	FUN_105f9c90	999300
CChallengeComponent	CEntityComponent	FUN_104cb870	831834
CChallengeWeapon	CChallenge	FUN_105f9cc0	999316
CCharacterPhysComponent	CPhysComponent	FUN_1003dcd0	42513
CCharacterSheet	CEntityComponent	FUN_1003dbe0	42433
CChatMessage	CGameMessage	FUN_1023e490	397821
CCheckScoutEvent	CBaseEvent	FUN_10611f20	1011753
CCinematicCameraEntity	CEntity	FUN_101a5f10	291814
CClientDescriptor	CNetDescriptor	FUN_10e9f2e0	2413810
CClientDescriptor_RdV	CClientDescriptor	FUN_10e9f310	2413826
CClientInfo	<root>	FUN_10e97230	2407940
CClientInfo_RdV	CClientInfo	FUN_10e972e0	2407975
CCloseComputerEvent	CEntityEvent	FUN_104f86c0	859593
CClusterComponent	CRenderableComponent	FUN_101a6950	292555
CCollectionComponent	CEntityComponent	FUN_101a6a70	292651
CCollectionManager	CSingletonEntity	FUN_101a66b0	292331
CCollective	CAIObject	FUN_104a1aa0	803223
CCommandCBParam	<root>	FUN_1005aa30	61721
CCompassObjectives	CEntityComponent	FUN_1060dd80	1009528
CCompoundPhysChangeStateEvent	CEntityEvent	FUN_102d38e0	492823
CCompoundPhysComponent	CPhysComponent	FUN_1021c930	375518
CCompoundPhysComponentBreakableNode	CCompoundPhysComponentNode	FUN_10306a20	526313
CCompoundPhysComponentListNode	CCompoundPhysComponentNode	FUN_1030c940	529394
CCompoundPhysComponentNode	CNomadObject	FUN_102d36f0	492679
CCompoundPhysComponentSingleBodyNode	CCompoundPhysComponentNode	FUN_102d3a40	492888
CCompoundPhysDestroyEvent	CEntityEvent	FUN_102d3870	492807
CCompoundPhysForceStateEvent	CEntityEvent	FUN_102262c0	382334
CCompoundPhysMemento	CNetDataContainer	FUN_102045a0	360127
CCompoundPhysNetworkComponent	CNetworkComponent	FUN_1021c9f0	375582
CCompoundPhysOnDamageEvent	CEntityEvent	FUN_102d3840	492791
CCompoundPhysOnDamageLastStateEvent	CEntityEvent	FUN_102d3780	492727
CCompoundPhysOnDamageStateChangeEvent	CEntityEvent	FUN_102d37e0	492759
CCompoundPhysOnDestroyEvent	CEntityEvent	FUN_102d3810	492775
CCompoundPhysOnEventLastStateEvent	CEntityEvent	FUN_102d37b0	492743
CCompoundPhysOnPartBreakOffEvent	CEntityEvent	FUN_102d3750	492711
CCompoundPhysOnPostStateChangeEvent	CEntityEvent	FUN_10286190	442042
CCompoundPhysOnStateChangeEvent	CEntityEvent	FUN_102d3720	492695
CConnectMessage	CNetDataContainer	FUN_1014bcf0	232822
CConnectOperation	CSessionOperation	FUN_10e8cdc0	2399378
CConnectionMsg	CNetDataContainer	FUN_10138280	217697
CConnectionMsgConnectResponse	CConnectionMsg	FUN_10138300	217726
CConnectionMsgDisconnect	CConnectionMsg	FUN_10138370	217763
CConvoyMission	CGameAIObject	FUN_10980590	1502033
CCorpseComponent	CEntityComponent	FUN_101a5890	291382
CCountDownMessage	CGameMessage	FUN_1023e6f0	397853
CCounterThresholdCrossedEvent	CEntityEvent	FUN_106483d0	1039815
CCountersComponent	CEntityComponent	FUN_1003dd00	42529
CCountersComponentGO	CCountersComponent	FUN_104cb070	831545
CCreateConnectionMessage	CConnectMessage	FUN_108c21c0	1405566
CCreateNetObjectOperation	CNetObjectOperation	FUN_10136870	216394
CCreatureShakeAndRumbleEvent	CEntityEvent	FUN_1052eb00	891206
CCreatureSoundAndFXComponent	CEntityComponent	FUN_104c95c0	830314
CCurve	CBaseEntity	FUN_101a6620	292283
CCustomMaterialComponent	CEntityComponent	FUN_10198430	280870
CDMSpawnPointService	CSpawnPointService	FUN_106476e0	1039734
CDataBaseItemManager	CSingletonEntity	FUN_101a6c50	292811
CDayCycleScale	CNomadObject	FUN_101a5b00	291590
CDeathMessage	CGameMessage	FUN_106e97b0	1130301
CDecision	CTask	FUN_104a19b0	803143
CDependenciesService	IGameModeService	FUN_101dead0	334826
CDeserializeNetDataVisitor	CNetDataVisitor	FUN_1012e400	209163
CDestroyEvent	CEntityEvent	FUN_1021d520	376193
CDialogEvent	CSoundEvent	FUN_1025a530	414775
CDiamondPickedEvent	CEntityEvent	FUN_10611be0	1011596
CDirehorseAgent	CBtzAnimalAgent	FUN_1097f400	1501440
CDisableNavMeshVolumeEvent	CEntityEvent	FUN_105ab3c0	958547
CDisconnectBanned	CDisconnectMessage	FUN_10138250	217681
CDisconnectMessage	CNetDataContainer	FUN_10138220	217665
CDisconnectionOperation	IOperation	FUN_10142ef0	225928
CDispatcher	CAgent	FUN_104a1a70	803207
CDispatcherConvoy	CDispatcher	FUN_1097de00	1500958
CDispatcherSocial	CDispatcher	FUN_1097dd10	1500878
CDispatcherSquadLieutenant	CDispatcher	FUN_1097dc70	1500825
CDispatcherVehicle	CDispatcher	FUN_1097dd70	1500910
CDlcService	IGameModeService	FUN_104cbe10	832010
CDodgeEvent	CEntityEvent	FUN_105558b0	912697
CDominoBoxInstance	CResourceContainer	FUN_1029c380	455803
CDominoBoxResource	CResourceContainer	FUN_10226090	382214
CDominoCallbackEvent	CEntityEvent	FUN_1029ad20	454881
CDominoComponent	CEntityComponent	FUN_101a6150	292006
CDominoEvent	CEntityEvent	FUN_10261300	418561
CDominoManager	CSingletonEntity	FUN_101a72f0	293245
CDominoService	IGameModeService	FUN_101a0680	287410
CDominoWorldSynchFlagOp	CFCXLoadWorldSynchOp	FUN_106d7c80	1120112
CDoor	CEntityComponent	FUN_104cb680	831786
CDoubleFusionComponent	COnlineAdComponent	FUN_101a6860	292475
CDroneBombAgent	TurretAgent	FUN_1097fbd0	1501746
CDynLoadComponent	CEntityComponent	FUN_104cc2b0	832223
CDynamicDeploadComponent	CEntityComponent	FUN_101a5980	291462
CDynamicGameAIObject	CGameAIObject	FUN_109803e0	1501889
CDynamicLightComponent	CEntityComponent	FUN_101a6bc0	292763
CEconomyComponent	CEntityComponent	FUN_104c93e0	830234
CEditableEventComponent	CEntityComponent	FUN_101b89e0	306321
CEnableNavMeshVolumeEvent	CEntityEvent	FUN_105ab430	958584
CEntity	CBaseEntity	FUN_100461b0	46408
CEntityComponent	CNomadObject	FUN_1003cd50	41615
CEntityDieEvent	CEntityEvent	FUN_10229d60	383816
CEntityEvent	CBaseEvent	FUN_1003daf0	42371
CEntityEventAddContainer	CEntityEvent	FUN_10738af0	1174136
CEntityEventCanContain	CEntityEvent	FUN_10738a80	1174099
CEntityEventIsUsable	CEntityEvent	FUN_104efa10	854155
CEntityEventOnUsed	CEntityEvent	FUN_104efa80	854192
CEntityEventOnUsing	CEntityEvent	FUN_1051c250	881121
CEntityEventProjectileBindState	CBaseEvent	FUN_107ec2a0	1280192
CEntityEventStims	CEntityEvent	FUN_1003db20	42387
CEntityNetDescriptor	CNetDescriptor	FUN_1018d230	274681
CEntityReviveEvent	CEntityEvent	FUN_1053bda0	899748
CEntitySystemService	IGameModeService	FUN_106d8470	1120382
CEntityUsableStateEvent	CEntityEvent	FUN_104efaf0	854229
CEntranceInfoComponent	CEntityComponent	FUN_104cab00	831257
CEnvironmentAdaptiveBloom	CNomadObject	FUN_101a5c00	291670
CEnvironmentAtmosphericScattering	CNomadObject	FUN_101a5ca0	291718
CEnvironmentCloud	CNomadObject	FUN_101a5b90	291638
CEnvironmentCorpHighlight	CNomadObject	FUN_101a5aa0	291558
CEnvironmentDepthOfField	CNomadObject	FUN_101a5c30	291686
CEnvironmentFog	CNomadObject	FUN_101a59e0	291494
CEnvironmentGlow	CNomadObject	FUN_101a5c70	291702
CEnvironmentLighting	CNomadObject	FUN_101a59b0	291478
CEnvironmentPlanets	CNomadObject	FUN_101a5b30	291606
CEnvironmentSky	CNomadObject	FUN_101a5a10	291510
CEnvironmentSun	CEnvironmentWithDependencies	FUN_101a5a70	291542
CEnvironmentTransition	CNomadObject	FUN_101a5b60	291622
CEnvironmentWeather	CNomadObject	FUN_101a5ad0	291574
CEnvironmentWind	CNomadObject	FUN_101a5bc0	291654
CEnvironmentWithDependencies	CNomadObject	FUN_101a5a40	291526
CEquipmentBase	CGameObject	FUN_104c9ba0	830524
CEquipmentUseStrategy	CNomadObject	FUN_104ca4d0	830908
CEventAMPSuitCommandAcquireUser	CAIEvent	FUN_109e6140	1562932
CEventBuddyReportTargetUpdate	CAIEvent	FUN_109a4280	1527292
CEventCommonCommandExecuteSTP	CAIEvent	FUN_109d3f40	1554847
CEventCommonReportDestinationReached	CAIEvent	FUN_109a42f0	1527329
CEventCommonReportUnreachableDestination	CAIEvent	FUN_109ca680	1548936
CEventComponent	CEntityComponent	FUN_101a68c0	292507
CEventDriveCommandCombatTarget	CAIEvent	FUN_109d3fd0	1554895
CEventDriveCommandConvoyCargo	CAIEvent	FUN_109d3fa0	1554879
CEventDriveCommandConvoyLeader	CAIEvent	FUN_109d3f70	1554863
CEventDriveCommandGhostPatrol	CAIEvent	FUN_109d4090	1554959
CEventDriveCommandReinforce	CAIEvent	FUN_109d4060	1554943
CEventDriveCommandSearchTarget	CAIEvent	FUN_109d4000	1554911
CEventDriveCommandSearchThreat	CAIEvent	FUN_109d4030	1554927
CEventDriveReportConvoyNoUser	CAIEvent	FUN_109d0e40	1553044
CEventDriveReportConvoyTarget	CAIEvent	FUN_109d0e70	1553060
CEventDriveReportConvoyThreat	CAIEvent	FUN_109d0e10	1553028
CEventDriveReportGunnerScanPos	CAIEvent	FUN_109ca770	1549016
CEventDriveReportLostOccupant	CAIEvent	FUN_109ca6e0	1548968
CEventDriveReportLostReservation	CAIEvent	FUN_109ca710	1548984
CEventDriveReportNewBestTarget	CAIEvent	FUN_109ca740	1549000
CEventDriveReportNewOccupant	CAIEvent	FUN_109ca6b0	1548952
CEventDriveReportReleasedVehicleUser	CAIEvent	FUN_109a4320	1527345
CEventDriveReportSlaveRequest	CAIEvent	FUN_109a4350	1527361
CEventMercCommandBark	CAIEvent	FUN_109b6ba0	1539632
CEventMercCommandCombatTarget	CAIEvent	FUN_109b69b0	1539510
CEventMercCommandLaunchGrenadeInBuilding	CAIEvent	FUN_109b6cc0	1539728
CEventMercCommandPlayerInAIvsAIZone	CAIEvent	FUN_109b6cf0	1539744
CEventMercCommandProjectileSeen	CAIEvent	FUN_109b6a90	1539563
CEventMercCommandSetArmyMemberRole	CAIEvent	FUN_109b6b40	1539600
CEventMercCommandSetArmyMemberRoleAction	CAIEvent	FUN_109b6b70	1539616
CEventMercCommandSetBestTarget	CAIEvent	FUN_109b6c60	1539696
CEventMercCommandSetGunnerScanPos	CAIEvent	FUN_109b6c90	1539712
CEventMercCommandSetLeaderTarget	CAIEvent	FUN_109b6db0	1539808
CEventMercCommandSetRallyPoint	CAIEvent	FUN_109b6de0	1539824
CEventMercCommandSetSquadAction	CAIEvent	FUN_109b6d50	1539776
CEventMercCommandSetSquadRole	CAIEvent	FUN_109b6d80	1539792
CEventMercCommandSocial	CAIEvent	FUN_109b6e10	1539840
CEventMercCommandStandOffFormation	CAIEvent	FUN_109b6e40	1539856
CEventMercCommandThreatened	CAIEvent	FUN_109b69e0	1539526
CEventMercCommandTrespassCombat	CAIEvent	FUN_109b6bd0	1539648
CEventMercCommandUseAMPSuit	CAIEvent	FUN_109b6f70	1539908
CEventMercCommandUseVehicle	CAIEvent	FUN_109b6c00	1539664
CEventMercCommandUseVehicleSeat	CAIEvent	FUN_109b6c30	1539680
CEventMercCommandVehicleStateUpdate	CAIEvent	FUN_109b6d20	1539760
CEventMercReportBarkRequest	CAIEvent	FUN_109a40d0	1527148
CEventMercReportDied	CAIEvent	FUN_109ca650	1548920
CEventMercReportFinishedAttack	CAIEvent	FUN_109a4220	1527260
CEventMercReportMacheteKillEvent	CAIEvent	FUN_109a4190	1527212
CEventMercReportNeedVehicle	CAIEvent	FUN_109a4160	1527196
CEventMercReportProjectile	CAIEvent	FUN_109a40a0	1527132
CEventMercReportReadyForAMPSuit	CAIEvent	FUN_109a4380	1527377
CEventMercReportReadyForVehicle	CAIEvent	FUN_109a4100	1527164
CEventMercReportRenewReservation	CAIEvent	FUN_109ca620	1548904
CEventMercReportSetRallyPoint	CAIEvent	FUN_109a41f0	1527244
